nohup: ignoring input
/root/ot_image_refactored/model/text_guided_sde.py:144: SyntaxWarning: invalid escape sequence '\i'
  """用于在损失函数中计算 \int ||v_t||^2 dt"""
/root/miniconda3/lib/python3.12/site-packages/clip/clip.py:137: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(model_path, map_location="cpu")
[VAE] 正在从本地加载权重: /root/autodl-tmp/sd-vae-ft-mse
[CLIP] 正在物理强制加载本地权重文件: /root/autodl-tmp/clip/RemoteCLIP-ViT-L-14.pt
🚀 Started Training: V35_TextGuided_ENOT_Base | Logs: /root/autodl-tmp/runs/V35_TextGuided_ENOT_Base/tb_logs
Epoch [8/100] (eps=0.0200) [150/852] |███-----------------| G=3.0022 D=0.6965 dir=0.0652 nc=16.2454 [0.38s/it]
Epoch [8/100] (eps=0.0200) [200/852] |████----------------| G=4.2947 D=-0.9173 dir=0.0630 nc=14.5002 [0.39s/it]
Epoch [8/100] (eps=0.0200) [250/852] |█████---------------| G=1.9040 D=0.0254 dir=0.0625 nc=11.4399 [0.39s/it]
Epoch [8/100] (eps=0.0200) [300/852] |███████-------------| G=2.8976 D=-1.0500 dir=0.0623 nc=12.4458 [0.38s/it]
Epoch [8/100] (eps=0.0200) [350/852] |████████------------| G=3.3372 D=-0.4649 dir=0.0438 nc=14.4742 [0.39s/it]
Epoch [8/100] (eps=0.0200) [400/852] |█████████-----------| G=2.4071 D=-0.9463 dir=0.0399 nc=12.5596 [0.40s/it]
Epoch [8/100] (eps=0.0200) [450/852] |██████████----------| G=2.8156 D=-0.3283 dir=0.0741 nc=13.3758 [0.40s/it]
Epoch [8/100] (eps=0.0200) [500/852] |███████████---------| G=2.7775 D=-0.3732 dir=0.0677 nc=14.9921 [0.39s/it]
Epoch [8/100] (eps=0.0200) [550/852] |████████████--------| G=3.3811 D=-0.8118 dir=0.0782 nc=13.4920 [0.46s/it]
Epoch [8/100] (eps=0.0200) [600/852] |██████████████------| G=2.0646 D=1.3260 dir=0.0871 nc=12.1791 [0.38s/it]
Epoch [8/100] (eps=0.0200) [650/852] |███████████████-----| G=3.4065 D=-0.0080 dir=0.0661 nc=13.2582 [0.38s/it]
Epoch [8/100] (eps=0.0200) [700/852] |████████████████----| G=1.9604 D=0.1492 dir=0.0588 nc=12.3755 [0.38s/it]
Epoch [8/100] (eps=0.0200) [750/852] |█████████████████---| G=2.0084 D=0.9845 dir=0.0436 nc=15.5373 [0.38s/it]
Epoch [8/100] (eps=0.0200) [800/852] |██████████████████--| G=3.1473 D=-0.2076 dir=0.0649 nc=12.6260 [0.41s/it]
Epoch [8/100] (eps=0.0200) [850/852] |███████████████████-| G=1.9197 D=0.0522 dir=0.0431 nc=12.0478 [0.38s/it]
Epoch [8/100] (eps=0.0200) [852/852] |████████████████████| G=4.2410 D=-0.9366 dir=0.1185 nc=15.6161 [0.45s/it]
Epoch [9/100] (eps=0.0225) [050/852] |█-------------------| G=2.8691 D=-0.0255 dir=0.0605 nc=14.7404 [0.39s/it]
Epoch [9/100] (eps=0.0225) [100/852] |██------------------| G=2.3262 D=-0.3143 dir=0.0621 nc=13.2020 [0.38s/it]
Epoch [9/100] (eps=0.0225) [150/852] |███-----------------| G=3.3401 D=-0.2059 dir=0.0526 nc=12.2687 [0.38s/it]
Epoch [9/100] (eps=0.0225) [200/852] |████----------------| G=3.4210 D=-0.4968 dir=0.0622 nc=12.7950 [0.45s/it]
Epoch [9/100] (eps=0.0225) [250/852] |█████---------------| G=2.8230 D=0.7611 dir=0.0752 nc=14.5930 [0.37s/it]
Epoch [9/100] (eps=0.0225) [300/852] |███████-------------| G=2.7724 D=-0.5723 dir=0.0658 nc=16.8573 [0.38s/it]
Epoch [9/100] (eps=0.0225) [350/852] |████████------------| G=2.6932 D=-0.0499 dir=0.0686 nc=15.8372 [0.37s/it]
Epoch [9/100] (eps=0.0225) [400/852] |█████████-----------| G=1.7383 D=0.3389 dir=0.0520 nc=13.9417 [0.38s/it]
Epoch [9/100] (eps=0.0225) [450/852] |██████████----------| G=2.4432 D=0.3014 dir=0.0610 nc=10.8042 [0.39s/it]
Epoch [9/100] (eps=0.0225) [500/852] |███████████---------| G=2.0148 D=0.3267 dir=0.0758 nc=14.1029 [0.38s/it]
Epoch [9/100] (eps=0.0225) [550/852] |████████████--------| G=3.5263 D=-0.0414 dir=0.0521 nc=13.8887 [0.38s/it]
Epoch [9/100] (eps=0.0225) [600/852] |██████████████------| G=3.0861 D=0.1651 dir=0.0603 nc=17.9418 [0.38s/it]
Epoch [9/100] (eps=0.0225) [650/852] |███████████████-----| G=2.2922 D=0.2883 dir=0.0427 nc=11.1881 [0.38s/it]
Epoch [9/100] (eps=0.0225) [700/852] |████████████████----| G=2.4301 D=0.0801 dir=0.0667 nc=14.6142 [0.44s/it]
Epoch [9/100] (eps=0.0225) [750/852] |█████████████████---| G=2.6036 D=0.1079 dir=0.0653 nc=15.1591 [0.38s/it]
